emotion,U_stat,p_value,cliffs_delta,mean_A,mean_B,n_A,n_B,p_corrected,significant_Holm_0.05
optimism,239.0,2.8116006502914928e-06,0.9916666666666667,0.08562656359193646,0.010360261181187859,16,15,7.591321755787031e-05,True
curiosity,219.0,9.878604922921052e-05,0.825,0.33996613156249617,0.058125760596376315,16,15,0.002568437279959474,True
nervousness,21.0,9.878604922921052e-05,-0.825,0.010584592976090114,0.14614575071834704,16,15,0.002568437279959474,True
embarrassment,28.0,0.00029820415562221357,-0.7666666666666667,0.0059159424914732184,0.01643498956189205,16,15,0.007156899734933126,True
fear,34.0,0.0007256914787601846,-0.7166666666666667,0.013666282406791654,0.04784971324180116,16,15,0.016690904011484247,True
confusion,44.0,0.002841354855969817,-0.6333333333333333,0.04734042207668908,0.11317637865211913,16,15,0.06250980683133597,False
desire,192.0,0.00470912480640639,0.6,0.04758530469679963,0.017039900028082873,16,15,0.09889162093453419,False
excitement,49.0,0.00532383534154151,-0.5916666666666667,0.06580799106875188,0.30791734892644423,16,15,0.1064767068308302,False
anger,189.0,0.006775118452800515,0.575,0.019265190165361348,0.008232705374454873,16,15,0.12872725060320978,False
gratitude,186.0,0.009622300029262164,0.55,0.02763685153301043,0.009581538372616858,16,15,0.17320140052671895,False
joy,62.0,0.02303298629087773,-0.48333333333333334,0.03231898566290535,0.04258682843343744,16,15,0.3915607669449214,False
sadness,64.0,0.028247624123843653,-0.4666666666666667,0.010724601688361986,0.029143452269324913,16,15,0.45196198598149845,False
disgust,156.0,0.1605391093203392,0.3,0.00855495005294618,0.00465235245371576,16,15,1.0,False
pride,127.0,0.7972289049943062,0.058333333333333334,0.009197729592385826,0.006208875167526259,16,15,1.0,False
remorse,128.0,0.766876114108925,0.06666666666666667,0.012057605066765582,0.010142712177327191,16,15,1.0,False
disappointment,89.0,0.22796467743471682,-0.25833333333333336,0.012302321770881393,0.014747600832607363,16,15,1.0,False
approval,114.0,0.8278914966146259,-0.05,0.05200812978995906,0.05979606765272528,16,15,1.0,False
disapproval,140.0,0.44082241663543487,0.16666666666666666,0.023657625556816213,0.025244251675512967,16,15,1.0,False
amusement,135.0,0.5665344518557682,0.125,0.015811300665554705,0.013608706245418314,16,15,1.0,False
grief,137.0,0.5142594096664315,0.14166666666666666,0.006318637099323781,0.004261793014968413,16,15,1.0,False
surprise,121.0,0.9842314483424721,0.008333333333333333,0.01813278736795669,0.024438436908395488,16,15,1.0,False
realization,123.0,0.9212802540736247,0.025,0.036351785113930196,0.03348589316363934,16,15,1.0,False
love,96.0,0.35293103307621654,-0.2,0.022020432984295013,0.030194512442009665,16,15,1.0,False
admiration,107.0,0.6212314023292724,-0.10833333333333334,0.028853878854735986,0.033764672389101684,16,15,1.0,False
caring,165.0,0.07857462988650502,0.375,0.046220503656075544,0.025817538607741986,16,15,1.0,False
relief,95.0,0.3328209099640991,-0.20833333333333334,0.0089529696256411,0.013713355359530418,16,15,1.0,False
annoyance,147.0,0.29486696936813717,0.225,0.025269829985788923,0.015088361397071114,16,15,1.0,False
